Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Seth Roberts,GB,1,12,0.1,0,0,0,0,2.8
,high,1,12,0.1,0,0,0,0,2.5
,low,1,12,0.1,0,0,0,0,2.5
Collin Johnson,JAC,1,12.8,0.1,0,0.1,0,0,2.7
,high,1.5,20.7,0.1,0.1,0.3,0,0,2.4
,low,0.8,10,0,0,0,0,0,2.2
Jason Moore,LAC,1.1,12.4,0.1,0,0.1,0,0,2.7
,high,1.7,19,0.1,0,0.2,0,0,3.8
,low,0.5,5.9,0,0,0,0,0,3.8
Noah Brown,DAL,1.2,12.6,0,0,0,0,0,2.6
,high,1.9,19,0.1,0,0,0,0,2.6
,low,0.8,9.5,0,0,0,0,0,2.4
K.J. Hill,LAC,1,12.4,0,0,0.1,0,0,2.5
,high,1.8,21,0.1,0,0.3,0,0,3.9
,low,0.4,6.1,0,0,0,0,0,1.9
John Ursua,SEA,0.7,10.5,0.1,0,0.2,0,0,2.4
,high,0.7,10.5,0.1,0,0.2,0,0,2.4
,low,0.7,10.5,0.1,0,0.2,0,0,2.4
Brandon Powell,ATL,1,11.4,0,0,0.3,0,0,2.3
,high,1.8,20.8,0.1,0.1,0.5,0,0,2.4
,low,0.6,6.9,0,0,0,0,0,1.7
Austin Mack,NYG,1,11.7,0,0.1,0.3,0,0,2.2
,high,1.8,20.8,0,0.1,0.5,0,0,1.3
,low,0.2,2.6,0,0.1,0.1,0,0,1.3
Ray-Ray McCloud,PIT,0.8,9.7,0,0.2,1,0,0,2.2
,high,1.9,22.8,0.1,0.4,2.1,0,0,2.4
,low,0.3,3,0,0,0,0,0,1.2
Joe Reed,LAC,0.6,9.2,0,0.2,1.1,0,0,2.1
,high,1,12.5,0.1,0.3,1.7,0.1,0,3.1
,low,0.4,6.2,0,0,0.2,0,0,1.7
Justin Watson,TB,0.8,12.2,0,0,0.1,0,0,2.1
,high,1.3,17.9,0,0,0.3,0,0,1.7
,low,0.2,6.5,0,0,0,0,0,1.7
Nick Westbrook-Ikhine,TEN,1,11,0,0,0.2,0,0,2.1
,high,1.4,16,0,0.1,0.4,0,0,1.8
,low,0.6,6,0,0,0,0,0,1.8
Chris Finke,SF,0.9,11.5,0,0,0.2,0,0,2
,high,0.9,11.5,0,0,0.2,0,0,0
,low,0.9,11.5,0,0,0.2,0,0,0
Josh Malone,NYJ,1,7,0,0.2,1,0,0,1.8
,high,1,7,0,0.2,1,0,0,2.2
,low,1,7,0,0.2,1,0,0,2.2
Mack Hollins,MIA,0.7,9.5,0,0,0,0,0,1.7
,high,1.5,20.1,0.1,0,0.1,0,0,2.4
,low,0,1.6,0,0,0,0,0,0.9
Jaydon Mickens,TB,0.6,8,0,0,0.2,0,0,1.7
,high,1.1,14.3,0.1,0,0.3,0,0,2.9
,low,0.2,2,0,0,0,0,0,1.1
Marcus Kemp,KC,0.7,8.7,0,0,0.2,0,0,1.6
,high,1.4,16.5,0,0.1,0.4,0,0,0.9
